Creature,GUARD,,,,,,,,,,,
Index,20001,,,,,,,,,,,
Skeleton,NPC\npc_guardsman.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,npc\npc_guardsman_cstand.anim,4,1,2,0,0,0,0,0,0
0,STAND,1,npc\npc_guardsman_cstand.anim,4,1,1.5,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,npc\npc_guardsman_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,npc\npc_guardsman_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,npc\npc_guardsman_attack.anim,4,1,1.1,0,0,0.6,0,1,0
0,ATTACK,1,npc\npc_guardsman_attack.anim,4,1,1.1,0,0,0.6,0,1,0
0,ATTACK,2,npc\npc_guardsman_attack.anim,4,1,1.1,0,0,0.6,0,1,0
0,BLOCKING,0,npc\npc_guardsman_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,npc\npc_guardsman_blocked.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,1,npc\npc_guardsman_blocked.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,2,npc\npc_guardsman_blocked.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,3,npc\npc_guardsman_blocked.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,4,npc\npc_guardsman_blocked.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,5,npc\npc_guardsman_blocked.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,6,npc\npc_guardsman_blocked.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,7,npc\npc_guardsman_blocked.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,0,npc\npc_guardsman_p1.anim,10,1,0.6,0,0,0,0,0,0
0,DEFEAT,1,npc\npc_guardsman_p2.anim,10,1,0.6,0,0,0,0,0,0
0,DEFEAT,2,npc\npc_guardsman_p3.anim,10,1,0.6,0,0,0,0,0,0
0,DEFEAT,3,npc\npc_guardsman_p4.anim,10,1,0.6,0,0,0,0,0,0
0,DEAD,0,npc\npc_guardsman_die.anim,4,1,2.6,0,0,0.1,1,0,0
0,GUARDING,0,npc\npc_guardsman_guard1.anim,10,1,0.6,0,0,0,0,0,0
0,GUARDING,1,npc\npc_guardsman_guard2.anim,10,1,0.6,0,0,0,0,0,0
0,GUARDING,2,npc\npc_guardsman_guard3.anim,10,1,0.6,0,0,0,0,0,0
