Creature,ITEM,,,,,,,,,,,,,,
Index,53202,,,,,,,,,,,,,,
Skeleton,Item\Armor\WIng\HIL_EQU_WIN.skel,,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime,DefaultAction
0,STAND,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
0,STAND,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
0,STAND,2,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
0,STAND,3,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
0,MOVE,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
0,MOVE,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,1,0,0,0,0,0,0,0,0,1
0,OPENMARKET,0,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
0,OPENMARKET,1,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
0,CLOSEMARKET,0,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
1,STAND,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
1,STAND,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
1,MOVE,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
1,MOVE,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,1,0,0,0,0,0,0,0,0,1
1,OPENMARKET,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,4,0,0,0,0,0,0,0,0,1
1,OPENMARKET,1,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
1,CLOSEMARKET,0,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
2,STAND,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
2,STAND,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
2,MOVE,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
2,MOVE,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,1,0,0,0,0,0,0,0,0,1
2,OPENMARKET,0,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
2,OPENMARKET,1,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
2,CLOSEMARKET,0,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
22,STAND,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
22,STAND,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
22,MOVE,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
22,MOVE,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,1,0,0,0,0,0,0,0,0,1
22,OPENMARKET,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,4,0,0,0,0,0,0,0,0,1
22,OPENMARKET,1,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
22,CLOSEMARKET,0,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
23,STAND,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,STAND,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,MOVE,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,MOVE,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,1,0,0,0,0,0,0,0,0,1
23,OPENMARKET,0,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
23,OPENMARKET,1,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
23,CLOSEMARKET,0,Item\Armor\Wing\HIL_EQU_WIN_SIT.anim,4,1,4,0,0,0,0,0,0,0,0,1
23,OPENFISHING,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,OPENFISHING,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,CLOSEFISHING,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,CLOSEFISHING,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,CLOSEFISHING,2,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,FISHFIGHTING,0,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,FISHFIGHTING,1,Item\Armor\Wing\HIL_EQU_WIN_STAND.anim,4,1,2,0,0,0,0,0,0,0,0,1
