Creature,ITEM,,,,,,,,,,,,,,
Index,52402,,,,,,,,,,,,,,
Skeleton,Item\Armor\WIng\SUM_EQU_WIN.skel,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime,DefaultAction
0,STAND,0,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
0,STAND,1,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
0,STAND,2,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
0,STAND,3,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
0,MOVE,0,Item\Armor\Wing\SUM_EQU_WIN_WALK_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
0,MOVE,1,Item\Armor\Wing\SUM_EQU_WIN_RUN_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
0,OPENMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
0,OPENMARKET,1,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
0,CLOSEMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
1,STAND,0,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
1,STAND,1,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
1,MOVE,0,Item\Armor\Wing\SUM_EQU_WIN_WALK_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
1,MOVE,1,Item\Armor\Wing\SUM_EQU_WIN_RUN_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
1,OPENMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
1,OPENMARKET,1,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
1,CLOSEMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
2,STAND,0,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
2,STAND,1,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
2,MOVE,0,Item\Armor\Wing\SUM_EQU_WIN_WALK_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
2,MOVE,1,Item\Armor\Wing\SUM_EQU_WIN_RUN_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
2,OPENMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
2,OPENMARKET,1,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
2,CLOSEMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
9,STAND,0,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
9,STAND,1,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
9,MOVE,0,Item\Armor\Wing\SUM_EQU_WIN_WALK_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
9,MOVE,1,Item\Armor\Wing\SUM_EQU_WIN_RUN_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
9,OPENMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
9,OPENMARKET,1,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
9,CLOSEMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
10,STAND,0,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
10,STAND,1,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
10,MOVE,0,Item\Armor\Wing\SUM_EQU_WIN_WALK_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
10,MOVE,1,Item\Armor\Wing\SUM_EQU_WIN_RUN_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
10,OPENMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
10,OPENMARKET,1,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
10,CLOSEMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
21,STAND,0,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
21,STAND,1,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
21,MOVE,0,Item\Armor\Wing\SUM_EQU_WIN_WALK_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
21,MOVE,1,Item\Armor\Wing\SUM_EQU_WIN_RUN_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
21,OPENMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
21,OPENMARKET,1,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
21,CLOSEMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
23,STAND,0,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,STAND,1,Item\Armor\Wing\SUM_EQU_WIN_STAND_04.anim,4,1,2,0,0,0,0,0,0,0,0,1
23,MOVE,0,Item\Armor\Wing\SUM_EQU_WIN_WALK_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
23,MOVE,1,Item\Armor\Wing\SUM_EQU_WIN_RUN_04.anim,4,1,1,0,0,0,0,0,0,0,0,1
23,OPENMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
23,OPENMARKET,1,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
23,CLOSEMARKET,0,Item\Armor\Wing\SUM_EQU_WIN_SIT_01.anim,4,1,4,0,0,0,0,0,0,0,0,1
23,OPENFISHING,0,Item\Armor\Wing\SUM_EQU_WIN_STAND_01.anim,4,1,2,0,0,0,0,0,0,0,0,1
