Creature,MONSTER,,,,,,,,,,,
Index,2035,,,,,,,,,,,
Skeleton,Monster\agama_boss.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\agama_boss\agama_boss_stand.anim,1,1,2,0,0,0,0,0,0
0,STAND,1,Monster\agama_boss\agama_boss_cstand.anim,1,1,1.5,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\agama_boss\agama_boss_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\agama_boss\agama_boss_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\agama_boss\agama_boss_att01.anim,4,1,1.016094,0,0,0.62,0,1,0
0,ATTACK,1,Monster\agama_boss\agama_boss_att01.anim,4,1,1.016094,0,0,0.62,0,1,0
0,ATTACK,2,Monster\agama_boss\agama_boss_att01.anim,4,1,1.016094,0,0,0.62,0,1,0
0,BLOCKING,0,Monster\agama_boss\agama_boss_blocking.anim,1,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\agama_boss\agama_boss_blocked.anim,1,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\agama_boss\agama_boss_blocked.anim,1,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\agama_boss\agama_boss_blocked.anim,1,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\agama_boss\agama_boss_blocked.anim,1,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\agama_boss\agama_boss_blocked.anim,1,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\agama_boss\agama_boss_blocked.anim,1,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\agama_boss\agama_boss_blocked.anim,1,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\agama_boss\agama_boss_blocked.anim,1,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\agama_boss\agama_boss_p1.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\agama_boss\agama_boss_p2.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\agama_boss\agama_boss_p3.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\agama_boss\agama_boss_p4.anim,5,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\agama_boss\agama_boss_die.anim,4,1,1.3,0,0,0.1,1,0,0
0,GUARDING,0,monster\agama_boss\agama_boss_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,monster\agama_boss\agama_boss_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,monster\agama_boss\agama_boss_blocking.anim,10,1,1,0,0,0,0,0,0
