Creature,MONSTER,,,,,,,,,,,,,
Index,3733,,,,,,,,,,,,,
Skeleton,Monster\Ancient_Hunter_Soul.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_stand.anim,1,1,1,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_stand.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_crun.anim,1,1,0.93,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_att01.anim,4,1,1.5,0,0,0.35,0,1,0,415,0
0,ATTACK,5,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_att03.anim,4,1,2,0,0,0.75,0,1,0,416,0
0,ATTACK,6,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_att03.anim,4,1,2,0,0,0.75,0,1,0,417,0
0,BLOCKING,0,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_p4.anim,5,1,0.53,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_p4.anim,5,1,0.53,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_p4.anim,5,1,0.53,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_p4.anim,5,1,0.53,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_die.anim,4,1,2,0,0,0.1,1,0,0,414,0
0,GUARDING,0,monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_guard3.anim,10,1,0.7,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_guard3.anim,10,1,0.7,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Ancient_Hunter_Soul\Ancient_Hunter_Soul_guard3.anim,10,1,0.7,0,0,0,0,0,0,0,0
