Creature,MONSTER,,,,,,,,,,,,,
Index,3708,,,,,,,,,,,,,
Skeleton,Monster\Ancient_Knight_SoulB.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_run.anim,1,1,0.93,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_att01.anim,4,1,1.5,0,0,0.62,0,1,0,405,0
0,ATTACK,1,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_att02.anim,4,1,1.03,0,0,0.6,0,1,0,406,0
0,ATTACK,2,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_att03.anim,4,1,1.4,0,0,0.25,0,1,0,407,0
0,BLOCKING,0,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_blocking.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_p2.anim,5,1,0.63,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_p2.anim,5,1,0.63,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_p2.anim,5,1,0.63,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_p2.anim,5,1,0.63,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_die.anim,4,1,2,0,0,0.1,1,0,0,400,0
0,GUARDING,0,monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_guard.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_guard.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Ancient_Knight_SoulB\Ancient_Knight_SoulB_guard.anim,10,1,0.66,0,0,0,0,0,0,0,0
