Creature,MONSTER,,,,,,,,,,,,,
Index,3714,,,,,,,,,,,,,
Skeleton,Monster\Ancient_Warrior_Soul.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_run.anim,1,1,0.9,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_att01.anim,4,1,0.9,0,0,0.55,0,1,0,410,0
0,ATTACK,1,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_att02.anim,4,1,1.3,0,0,0.32,0,1,0,411,0
0,ATTACK,2,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_att03.anim,4,1,2.5,0,0,0.41,0,1,0,412,0
0,BLOCKING,0,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_blocking.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_p2.anim,5,1,0.63,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_p2.anim,5,1,0.63,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_p2.anim,5,1,0.63,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_p2.anim,5,1,0.63,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_die.anim,4,1,2,0,0,0.1,1,0,0,409,0
0,GUARDING,0,monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_guard.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_guard.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Ancient_Warrior_Soul\Ancient_Warrior_Soul_guard.anim,10,1,0.66,0,0,0,0,0,0,0,0
