Creature,MONSTER,,,,,,,,,,,,,
Index,2322,,,,,,,,,,,,,
Skeleton,Monster\angelica.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\npc_angelica\npc_angelica_stand.anim,1,1,1,0,0,0,0,0,0,0,0
0,STAND,1,Monster\npc_angelica\npc_angelica_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\npc_angelica\npc_angelica_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\npc_angelica\npc_angelica_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\npc_angelica\npc_angelica_att01.anim,4,1,2,0,0,0.75,0,1,0,0,0
0,ATTACK,5,Monster\npc_angelica\npc_angelica_att02.anim,4,1,1.5,0,0,0.85,0,1,0,0,0
0,BLOCKING,0,Monster\npc_angelica\npc_angelica_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\npc_angelica\npc_angelica_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\npc_angelica\npc_angelica_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\npc_angelica\npc_angelica_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\npc_angelica\npc_angelica_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\npc_angelica\npc_angelica_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\npc_angelica\npc_angelica_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\npc_angelica\npc_angelica_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\npc_angelica\npc_angelica_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\npc_angelica\npc_angelica_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\npc_angelica\npc_angelica_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\npc_angelica\npc_angelica_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\npc_angelica\npc_angelica_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\npc_angelica\npc_angelica_die.anim,4,1,1.5,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\npc_angelica\npc_angelica_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\npc_angelica\npc_angelica_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\npc_angelica\npc_angelica_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
