Creature,MONSTER,,,,,,,,,,,,,
Index,3608,,,,,,,,,,,,,
Skeleton,Monster\aquira_kubasz.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\aquira_kubasz\aquira_kubasz_stand.anim,1,1,3,0,0,0,0,0,0,0,0
0,STAND,1,Monster\aquira_kubasz\aquira_kubasz_cstand.anim,1,1,1.5,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\aquira_kubasz\aquira_kubasz_walk.anim,1,1,1.2,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\aquira_kubasz\aquira_kubasz_crun.anim,1,1,1.3,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\aquira_kubasz\aquira_kubasz_att1.anim,4,1,1.4,0,0,0.7,0,1,0,340,0
0,ATTACK,1,Monster\aquira_kubasz\aquira_kubasz_att2.anim,4,1,2,0,0,0.7,0,1,0,341,0
0,BLOCKING,0,Monster\aquira_kubasz\aquira_kubasz_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\aquira_kubasz\aquira_kubasz_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\aquira_kubasz\aquira_kubasz_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\aquira_kubasz\aquira_kubasz_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\aquira_kubasz\aquira_kubasz_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\aquira_kubasz\aquira_kubasz_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\aquira_kubasz\aquira_kubasz_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\aquira_kubasz\aquira_kubasz_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\aquira_kubasz\aquira_kubasz_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\aquira_kubasz\aquira_kubasz_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\aquira_kubasz\aquira_kubasz_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\aquira_kubasz\aquira_kubasz_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\aquira_kubasz\aquira_kubasz_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\aquira_kubasz\aquira_kubasz_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\aquira_kubasz\aquira_kubasz_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\aquira_kubasz\aquira_kubasz_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\aquira_kubasz\aquira_kubasz_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
