Creature,MONSTER,,,,,,,,,,,,,
Index,3600,,,,,,,,,,,,,
Skeleton,Monster\aquirai_the_immotal.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\aquirai_the_immotal\aquirai_the_immotal_stand.anim,1,1,3,0,0,0,0,0,0,0,0
0,STAND,1,Monster\aquirai_the_immotal\aquirai_the_immotal_cstand.anim,1,1,1.5,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\aquirai_the_immotal\aquirai_the_immotal_walk.anim,1,1,1.6,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\aquirai_the_immotal\aquirai_the_immotal_crun.anim,1,1,3.2,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\aquirai_the_immotal\aquirai_the_immotal_att1.anim,4,1,1.7,0,0,0.65,0,1,0,370,0
0,ATTACK,1,Monster\aquirai_the_immotal\aquirai_the_immotal_att2.anim,4,1,3.2,0,0,0.5,0,1,0,371,0
0,ATTACK,2,Monster\aquirai_the_immotal\aquirai_the_immotal_att3.anim,4,1,4.5,0,0,0.55,0,1,0,372,0
0,BLOCKING,0,Monster\aquirai_the_immotal\aquirai_the_immotal_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\aquirai_the_immotal\aquirai_the_immotal_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\aquirai_the_immotal\aquirai_the_immotal_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\aquirai_the_immotal\aquirai_the_immotal_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\aquirai_the_immotal\aquirai_the_immotal_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\aquirai_the_immotal\aquirai_the_immotal_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\aquirai_the_immotal\aquirai_the_immotal_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\aquirai_the_immotal\aquirai_the_immotal_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\aquirai_the_immotal\aquirai_the_immotal_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\aquirai_the_immotal\aquirai_the_immotal_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\aquirai_the_immotal\aquirai_the_immotal_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\aquirai_the_immotal\aquirai_the_immotal_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\aquirai_the_immotal\aquirai_the_immotal_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\aquirai_the_immotal\aquirai_the_immotal_die.anim,4,1,4.5,0,0,0.1,1,0,0,369,0
0,GUARDING,0,monster\aquirai_the_immotal\aquirai_the_immotal_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\aquirai_the_immotal\aquirai_the_immotal_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\aquirai_the_immotal\aquirai_the_immotal_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
