Creature,MONSTER,,,,,,,,,,,
Index,902,,,,,,,,,,,
Skeleton,Monster\aramon.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\aramon\aramon_stand.anim,4,1,2.3,0,0,0,0,0,0
0,STAND,1,Monster\aramon\aramon_cstand.anim,4,1,1.2,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\aramon\aramon_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\aramon\aramon_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\aramon\aramon_attack.anim,4,1,1.104225,0,0,0.5,0,1,0
0,ATTACK,1,Monster\aramon\aramon_attack.anim,4,1,1.104225,0,0,0.5,0,1,0
0,ATTACK,2,Monster\aramon\aramon_attack.anim,4,1,1.104225,0,0,0.5,0,1,0
0,BLOCKING,0,Monster\aramon\aramon_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\aramon\aramon_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\aramon\aramon_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\aramon\aramon_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\aramon\aramon_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\aramon\aramon_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\aramon\aramon_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\aramon\aramon_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\aramon\aramon_blocked.anim,10,1,1,0,0,0,0,0,0

0,DEFEAT,0,Monster\aramon\aramon_p1.anim,10,1,0.53,0,0,0,0,0,0
0,DEFEAT,1,Monster\aramon\aramon_p2.anim,10,1,0.53,0,0,0,0,0,0
0,DEFEAT,2,Monster\aramon\aramon_p3.anim,10,1,0.53,0,0,0,0,0,0
0,DEFEAT,3,Monster\aramon\aramon_p4.anim,10,1,0.53,0,0,0,0,0,0
0,DEAD,0,Monster\aramon\aramon_dead.anim,4,1,1.3,0,0,0.1,1,0,0
0,GUARDING,0,Monster\aramon\aramon_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Monster\aramon\aramon_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Monster\aramon\aramon_guard3.anim,10,1,1,0,0,0,0,0,0
