Creature,MONSTER,,,,,,,,,,,,,
Index,3829,,,,,,,,,,,,,
Skeleton,Monster\AshenSheeler.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\AshenSheeler\AshenSheeler_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\AshenSheeler\AshenSheeler_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\AshenSheeler\AshenSheeler_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\AshenSheeler\AshenSheeler_crun.anim,1,1,0.8,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\AshenSheeler\AshenSheeler_att.anim,4,1,2,0,0,0.6,0,1,0,569,0
0,BLOCKING,0,Monster\AshenSheeler\AshenSheeler_blocking.anim,10,1,0.5,0,0,0,0,0,0,570,0
0,BLOCKED,0,Monster\AshenSheeler\AshenSheeler_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\AshenSheeler\AshenSheeler_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\AshenSheeler\AshenSheeler_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\AshenSheeler\AshenSheeler_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\AshenSheeler\AshenSheeler_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\AshenSheeler\AshenSheeler_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\AshenSheeler\AshenSheeler_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\AshenSheeler\AshenSheeler_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\AshenSheeler\AshenSheeler_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\AshenSheeler\AshenSheeler_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\AshenSheeler\AshenSheeler_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\AshenSheeler\AshenSheeler_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\AshenSheeler\AshenSheeler_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\AshenSheeler\AshenSheeler_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\AshenSheeler\AshenSheeler_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\AshenSheeler\AshenSheeler_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
