Creature,MONSTER,,,,,,,,,,,,,
Index,2605,,,,,,,,,,,,,
Skeleton,Monster\athar_khan.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\athar_khan\athar_khan_stand.anim,4,1,3,0,0,0,0,0,0,0,0
0,STAND,1,Monster\athar_khan\athar_khan_cstand.anim,4,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\athar_khan\athar_khan_walk.anim,4,1,1,0,0,0,0,0,0,30,1000
0,MOVE,1,Monster\athar_khan\athar_khan_crun.anim,4,1,1,0,0,0,0,0,0,30,1000
0,ATTACK,0,Monster\athar_khan\athar_khan_att01.anim,4,1,1,0,0,0.5,0,1,0,0,0
0,ATTACK,1,Monster\athar_khan\athar_khan_att01.anim,4,1,1,0,0,0.5,0,1,0,0,0
0,ATTACK,2,Monster\athar_khan\athar_khan_att01.anim,4,1,1,0,0,0.5,0,1,0,0,0
0,BLOCKING,0,Monster\athar_khan\athar_khan_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\athar_khan\athar_khan_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\athar_khan\athar_khan_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\athar_khan\athar_khan_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\athar_khan\athar_khan_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\athar_khan\athar_khan_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\athar_khan\athar_khan_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\athar_khan\athar_khan_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\athar_khan\athar_khan_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\athar_khan\athar_khan_p1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\athar_khan\athar_khan_p2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\athar_khan\athar_khan_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\athar_khan\athar_khan_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\athar_khan\athar_khan_die.anim,4,1,1.5,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\athar_khan\athar_khan_guard1.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\athar_khan\athar_khan_guard2.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\athar_khan\athar_khan_guard3.anim,10,1,0.4,0,0,0,0,0,0,0,0
