Creature,MONSTER,,,,,,,,,,,
Index,1202,,,,,,,,,,,
Skeleton,Monster\axemurderer.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\axemurderer\axemurderer_stand.anim,4,1,6,0,0,0,0,0,0
0,STAND,1,Monster\axemurderer\axemurderer_cstand.anim,4,1,2,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\axemurderer\axemurderer_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\axemurderer\axemurderer_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\axemurderer\axemurderer_att1.anim,4,1,1.270118,0,0,0.66,0,1,0
0,ATTACK,1,Monster\axemurderer\axemurderer_att1.anim,4,1,1.270118,0,0,0.66,0,1,0
0,ATTACK,2,Monster\axemurderer\axemurderer_att1.anim,4,1,1.270118,0,0,0.66,0,1,0
0,BLOCKING,0,Monster\axemurderer\axemurderer_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\axemurderer\axemurderer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\axemurderer\axemurderer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\axemurderer\axemurderer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\axemurderer\axemurderer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\axemurderer\axemurderer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\axemurderer\axemurderer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\axemurderer\axemurderer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\axemurderer\axemurderer_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\axemurderer\axemurderer_p1.anim,10,1,0.7,0,0,0,0,0,0
0,DEFEAT,1,Monster\axemurderer\axemurderer_p2.anim,10,1,0.7,0,0,0,0,0,0
0,DEFEAT,2,Monster\axemurderer\axemurderer_p3.anim,10,1,0.7,0,0,0,0,0,0
0,DEFEAT,3,Monster\axemurderer\axemurderer_p4.anim,10,1,0.7,0,0,0,0,0,0
0,DEAD,0,Monster\axemurderer\axemurderer_die.anim,4,1,2.7,0,0,0.1,1,0,0
0,GUARDING,0,Monster\axemurderer\axemurderer_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Monster\axemurderer\axemurderer_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Monster\axemurderer\axemurderer_guard3.anim,10,1,1,0,0,0,0,0,0
