Creature,MONSTER,,,,,,,,,,,,,
Index,2321,,,,,,,,,,,,,
Skeleton,Monster\Brabus.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Brabus\Brabus_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Brabus\Brabus_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Brabus\Brabus_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Brabus\Brabus_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Brabus\Brabus_att01.anim,4,1,0.54,0,0,0.6,0,1,0,0,0
0,ATTACK,1,Monster\Brabus\Brabus_att02.anim,4,1,0.63,0,0,0.68,0,1,0,0,0
0,BLOCKING,0,Monster\Brabus\Brabus_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Brabus\Brabus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Brabus\Brabus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Brabus\Brabus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Brabus\Brabus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Brabus\Brabus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Brabus\Brabus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Brabus\Brabus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Brabus\Brabus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Brabus\Brabus_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Brabus\Brabus_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Brabus\Brabus_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Brabus\Brabus_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Brabus\Brabus_die.anim,4,1,2.06,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\Brabus\Brabus_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Brabus\Brabus_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Brabus\Brabus_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
