Creature,MONSTER,,,,,,,,,,,
Index,2803,,,,,,,,,,,
Skeleton,Monster\spider_lord.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\spiderlord\spider_lord_stand.anim,1,1,1.66,0,0,0,0,0,0
0,STAND,1,Monster\spiderlord\spider_lord_cstand.anim,1,1,2,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\spiderlord\spider_lord_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\spiderlord\spider_lord_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\spiderlord\spider_lord_att01.anim,4,1,1.104225,0,0,0.65,0,1,0
0,ATTACK,1,Monster\spiderlord\spider_lord_att01.anim,4,1,1.104225,0,0,0.7,0,1,0
0,ATTACK,2,Monster\spiderlord\spider_lord_att01.anim,4,1,1.104225,0,0,0.7,0,1,0
0,BLOCKING,0,Monster\spiderlord\spider_lord_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\spiderlord\spider_lord_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\spiderlord\spider_lord_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\spiderlord\spider_lord_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\spiderlord\spider_lord_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\spiderlord\spider_lord_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\spiderlord\spider_lord_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\spiderlord\spider_lord_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\spiderlord\spider_lord_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\spiderlord\spider_lord_p1.anim,5,1,0.6,0,0,0,0,0,0
0,DEFEAT,1,Monster\spiderlord\spider_lord_p2.anim,5,1,0.6,0,0,0,0,0,0
0,DEFEAT,2,Monster\spiderlord\spider_lord_p3.anim,5,1,0.6,0,0,0,0,0,0
0,DEFEAT,3,Monster\spiderlord\spider_lord_p4.anim,5,1,0.6,0,0,0,0,0,0
0,DEAD,0,Monster\spiderlord\spider_lord_die.anim,4,1,1.66,0,0,0.1,1,0,0
0,GUARDING,0,Monster\spiderlord\spider_lord_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Monster\spiderlord\spider_lord_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Monster\spiderlord\spider_lord_guard3.anim,10,1,1,0,0,0,0,0,0
