Creature,MONSTER,,,,,,,,,,,
Index,1305,,,,,,,,,,,
Skeleton,Monster\blademaster.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\blademaster\blademaster_stand.anim,4,1,6,0,0,0,0,0,0
0,STAND,1,Monster\blademaster\blademaster_cstand.anim,4,1,2,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\blademaster\blademaster_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\blademaster\blademaster_run.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\blademaster\blademaster_att1.anim,4,1,1.45,0,0,0.45,0,1,0
0,ATTACK,1,Monster\blademaster\blademaster_att1.anim,4,1,1.45,0,0,0.45,0,1,0
0,ATTACK,2,Monster\blademaster\blademaster_att1.anim,4,1,1.45,0,0,0.45,0,1,0
0,BLOCKING,0,Monster\blademaster\blademaster_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\blademaster\blademaster_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\blademaster\blademaster_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\blademaster\blademaster_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\blademaster\blademaster_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\blademaster\blademaster_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\blademaster\blademaster_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\blademaster\blademaster_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\blademaster\blademaster_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\blademaster\blademaster_p1.anim,10,1,0.7,0,0,0,0,0,0
0,DEFEAT,1,Monster\blademaster\blademaster_p2.anim,10,1,0.7,0,0,0,0,0,0
0,DEFEAT,2,Monster\blademaster\blademaster_p3.anim,10,1,0.7,0,0,0,0,0,0
0,DEFEAT,3,Monster\blademaster\blademaster_p4.anim,10,1,0.7,0,0,0,0,0,0
0,DEAD,0,Monster\blademaster\blademaster_die.anim,4,1,1.8,0,0,0.1,1,0,0
0,GUARDING,0,Monster\blademaster\blademaster_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Monster\blademaster\blademaster_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Monster\blademaster\blademaster_guard3.anim,10,1,1,0,0,0,0,0,0
