Creature,MONSTER,,,,,,,,,,,,,
Index,3822,,,,,,,,,,,,,
Skeleton,Monster\blest_wield.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\blest_wield\blest_wield_stand.anim,1,1,2.66,0,0,0,0,0,0,0,0
0,STAND,1,Monster\blest_wield\blest_wield_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\blest_wield\blest_wield_walk.anim,1,1,1.26,0,0,0,0,0,0,538,0
0,MOVE,1,Monster\blest_wield\blest_wield_walk.anim,1,1,1.26,0,0,0,0,0,0,538,0
0,ATTACK,0,Monster\blest_wield\blest_wield_att01.anim,4,1,1.4,0,0,0.57,0,1,0,535,0
0,ATTACK,1,Monster\blest_wield\blest_wield_att02.anim,4,1,1.8,0,0,0.44,0,1,0,536,0
0,ATTACK,2,Monster\blest_wield\blest_wield_att03.anim,4,1,1.16,0,0,0.57,0,1,0,537,0
0,BLOCKING,0,Monster\blest_wield\blest_wield_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\blest_wield\blest_wield_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\blest_wield\blest_wield_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\blest_wield\blest_wield_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\blest_wield\blest_wield_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\blest_wield\blest_wield_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\blest_wield\blest_wield_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\blest_wield\blest_wield_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\blest_wield\blest_wield_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\blest_wield\blest_wield_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\blest_wield\blest_wield_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\blest_wield\blest_wield_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\blest_wield\blest_wield_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\blest_wield\blest_wield_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\blest_wield\blest_wield_guard01.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\blest_wield\blest_wield_guard02.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\blest_wield\blest_wield_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
