Creature,MONSTER,,,,,,,,,,,,,
Index,3888,,,,,,,,,,,,,
Skeleton,Monster\captain_desair.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\captain_desair\captain_desair_stand.anim,4,1,6,0,0,0,0,0,0,0,0
0,STAND,1,Monster\captain_desair\captain_desair_cstand.anim,4,1,1.65,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\captain_desair\captain_desair_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\captain_desair\captain_desair_crun.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\captain_desair\captain_desair_att01.anim,4,1,1.5,0,0,0.3,0,1,0,250,0
0,ATTACK,1,Monster\captain_desair\captain_desair_att02.anim,4,1,1.4,0,0,0.5,0,1,0,251,0
0,ATTACK,2,Monster\captain_desair\captain_desair_att03.anim,4,1,2,0,0,0.5,0,1,0,252,0
0,BLOCKING,0,Monster\captain_desair\captain_desair_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\captain_desair\captain_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\captain_desair\captain_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\captain_desair\captain_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\captain_desair\captain_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\captain_desair\captain_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\captain_desair\captain_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\captain_desair\captain_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\captain_desair\captain_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\captain_desair\captain_desair_p1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\captain_desair\captain_desair_p2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\captain_desair\captain_desair_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\captain_desair\captain_desair_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\captain_desair\captain_desair_die.anim,4,1,4,0,0,0.1,1,0,0,249,0
0,GUARDING,0,Monster\captain_desair\captain_desair_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\captain_desair\captain_desair_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\captain_desair\captain_desair_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
