Creature,MONSTER,,,,,,,,,,,
Index,2043,,,,,,,,,,,
Skeleton,Monster\captain_Rasputin_flailer.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_stand.anim,4,1,6,0,0,0,0,0,0
0,STAND,1,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_cstand.anim,4,1,1.66,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_att01.anim,4,1,1.33,0,0,0.3,0,1,0
0,ATTACK,1,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_att01.anim,4,1,1.33,0,0,0.3,0,1,0
0,ATTACK,2,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_att01.anim,4,1,1.33,0,0,0.3,0,1,0
0,BLOCKING,0,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_die.anim,4,1,1.33,0,0,0.1,1,0,0
0,GUARDING,0,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_guard1.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,1,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_guard2.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,2,Monster\captain_Rasputin_flailer\captain_Rasputin_flailer_guard3.anim,10,1,0.4,0,0,0,0,0,0
