Creature,MONSTER,,,,,,,,,,,,,
Index,1933,,,,,,,,,,,,,
Skeleton,Monster\Carcer.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Carcer\Carcer_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Carcer\Carcer_cstand.anim,1,1,2,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Carcer\Carcer_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Carcer\Carcer_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\Carcer\Carcer_att01.anim,4,1,1.33,0,0,0.65,0,1,0,61,1400
0,ATTACK,5,Monster\Carcer\Carcer_att01.anim,4,1,1.33,0,0,0.65,0,1,0,61,1400
0,ATTACK,6,Monster\Carcer\Carcer_att01.anim,4,1,1.33,0,0,0.65,0,1,0,61,1400
0,BLOCKING,0,Monster\Carcer\Carcer_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Carcer\Carcer_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Carcer\Carcer_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Carcer\Carcer_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Carcer\Carcer_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Carcer\Carcer_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Carcer\Carcer_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Carcer\Carcer_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Carcer\Carcer_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Carcer\Carcer_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Carcer\Carcer_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Carcer\Carcer_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Carcer\Carcer_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Carcer\Carcer_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\Carcer\Carcer_guard1.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Carcer\Carcer_guard2.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Carcer\Carcer_guard3.anim,10,1,0.4,0,0,0,0,0,0,0,0
