Creature,MONSTER,,,,,,,,,,,,,
Index,2503,,,,,,,,,,,,,
Skeleton,Monster\cascade.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,SM_STAND,0,Monster\cascade\cascade_stand.anim,1,1,1.5,0,0,0,0,0,0,0,0
0,SM_STAND,1,Monster\cascade\cascade_cstand.anim,1,1,1.1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,SM_MOVE,0,Monster\cascade\cascade_walk.anim,1,1,1.3,0,0,0,0,0,0,0,0
0,SM_MOVE,1,Monster\cascade\cascade_crun.anim,1,1,1.3,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\cascade\cascade_att1.anim,4,1,1.2,0,0,0.65,0,1,0,205,0
0,ATTACK,1,Monster\cascade\cascade_att2.anim,4,1,1.3,0,0,0.7,0,1,0,206,0
0,BLOCKING,0,Monster\cascade\cascade_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\cascade\cascade_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\cascade\cascade_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\cascade\cascade_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\cascade\cascade_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\cascade\cascade_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\cascade\cascade_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\cascade\cascade_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\cascade\cascade_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\cascade\cascade_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\cascade\cascade_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\cascade\cascade_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\cascade\cascade_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,SM_DEAD,0,Monster\cascade\cascade_die.anim,4,1,2,0,0,0.1,1,0,0,204,0
0,GUARDING,0,monster\cascade\cascade_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\cascade\cascade_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\cascade\cascade_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
