Creature,MONSTER,,,,,,,,,,,,,
Index,2330,,,,,,,,,,,,,
Skeleton,Monster\Cetus_Hunter.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\cetus_Hunter\cetus_Hunter_stand.anim,4,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\cetus_Hunter\cetus_Hunter_cstand.anim,4,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\cetus_Hunter\cetus_Hunter_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\cetus_Hunter\cetus_Hunter_crun.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\cetus_Hunter\cetus_Hunter_att01.anim,4,1,1.5,0,0,0.5,0,1,0,169,0
0,ATTACK,5,Monster\cetus_Hunter\cetus_Hunter_att01.anim,4,1,1.5,0,0,0.5,0,1,0,170,0
0,ATTACK,6,Monster\cetus_Hunter\cetus_Hunter_att01.anim,4,1,1.5,0,0,0.5,0,1,0,171,0
0,BLOCKING,0,Monster\cetus_Hunter\cetus_Hunter_blocking.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\cetus_Hunter\cetus_Hunter_p1.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\cetus_Hunter\cetus_Hunter_p2.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\cetus_Hunter\cetus_Hunter_p3.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\cetus_Hunter\cetus_Hunter_p4.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\cetus_Hunter\cetus_Hunter_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\cetus_Hunter\cetus_Hunter_guard1.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\cetus_Hunter\cetus_Hunter_guard2.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\cetus_Hunter\cetus_Hunter_guard3.anim,10,1,0.6,0,0,0,0,0,0,0,0
