Creature,MONSTER,,,,,,,,,,,,,
Index,3800,,,,,,,,,,,,,
Skeleton,Monster\cherubim.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\cherubim\cherubim_stand.anim,1,1,2.33,0,0,0,0,0,0,0,0
0,STAND,1,Monster\cherubim\cherubim_cstand.anim,1,1,1.66,0,0,0,0,0,0,0,0
0,REVIVE,0,Monster\cherubim\cherubim_att03.anim,0,1,3.5,0,0,0.42,0,0,0,587,0
0,MOVE,0,Monster\cherubim\cherubim_walk.anim,1,1,1.33,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\cherubim\cherubim_crun.anim,1,1,1.66,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\cherubim\cherubim_att01.anim,4,1,3.5,0,0,0.42,0,1,0,585,0
0,ATTACK,1,Monster\cherubim\cherubim_att02.anim,4,1,5,0,0,0.58,0,1,0,586,0
0,ATTACK,2,Monster\cherubim\cherubim_att04.anim,4,1,3.5,0,0,0.44,0,1,0,588,0
0,ATTACK,9,Monster\cherubim\cherubim_att03.anim,4,1,3.5,0,0,0.42,0,1,0,587,0
0,BLOCKING,0,Monster\cherubim\cherubim_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\cherubim\cherubim_blocked.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\cherubim\cherubim_blocked.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\cherubim\cherubim_blocked.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\cherubim\cherubim_blocked.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\cherubim\cherubim_blocked.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\cherubim\cherubim_blocked.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\cherubim\cherubim_blocked.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\cherubim\cherubim_blocked.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\cherubim\cherubim_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\cherubim\cherubim_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\cherubim\cherubim_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\cherubim\cherubim_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\cherubim\cherubim_die.anim,4,1,6,0,0,0.1,1,0,0,589,0
0,GUARDING,0,monster\cherubim\cherubim_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\cherubim\cherubim_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\cherubim\cherubim_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
