Creature,MONSTER,,,,,,,,,,,,,
Index,2006,,,,,,,,,,,,,
Skeleton,Monster\coriger.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\coriger\coriger_stand.anim,4,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\coriger\coriger_cstand.anim,4,1,1.5,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\coriger\coriger_walk.anim,4,1,1.47,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\coriger\coriger_walk.anim,4,1,1.47,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\coriger\coriger_att01.anim,4,1,1.47,0,0,0.6,0,1,0,64,10000
0,ATTACK,1,Monster\coriger\coriger_att02.anim,4,1,1.5,0,0,0.6,0,1,0,65,10000
0,ATTACK,2,Monster\coriger\coriger_att03.anim,4,1,1.5,0,0,0.75,0,1,0,66,10000
0,BLOCKING,0,Monster\coriger\coriger_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\coriger\coriger_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\coriger\coriger_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\coriger\coriger_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\coriger\coriger_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\coriger\coriger_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\coriger\coriger_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\coriger\coriger_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\coriger\coriger_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\coriger\coriger_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\coriger\coriger_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\coriger\coriger_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\coriger\coriger_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\coriger\coriger_die.anim,4,1,2.4,0,0,0.1,1,0,0,67,10000
0,GUARDING,0,Monster\coriger\coriger_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\coriger\coriger_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\coriger\coriger_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
