Creature,MONSTER,,,,,,,,,,,
Index,1923,,,,,,,,,,,
Skeleton,Monster\algol.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\algol\algol_stand.anim,4,1,7.33,0,0,0,0,0,0
0,STAND,1,Monster\algol\algol_cstand.anim,4,1,1.33,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\algol\algol_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\algol\algol_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\algol\algol_att01.anim,4,1,1.2,0,0,0.55,0,1,0
0,ATTACK,1,Monster\algol\algol_att01.anim,4,1,1.2,0,0,0.55,0,1,0
0,ATTACK,2,Monster\algol\algol_att02.anim,4,1,1.8,0,0,0.5,0,1,0
0,BLOCKING,0,Monster\algol\algol_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Monster\algol\algol_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\algol\algol_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\algol\algol_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\algol\algol_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\algol\algol_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\algol\algol_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\algol\algol_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\algol\algol_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\algol\algol_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\algol\algol_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\algol\algol_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\algol\algol_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\algol\algol_die.anim,4,1,1.66,0,0,0.1,1,0,0
0,GUARDING,0,Monster\algol\algol_guard1.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,1,Monster\algol\algol_guard2.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,2,Monster\algol\algol_guard3.anim,10,1,0.4,0,0,0,0,0,0
