Creature,MONSTER,,,,,,,,,,,,,
Index,3808,,,,,,,,,,,,,
Skeleton,Monster\Deixel.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Deixel\Deixel_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Deixel\Deixel_cstand.anim,1,1,1.5,0,0,0,0,0,0,0,0
0,REVIVE,0,Monster\Deixel\Deixel_att4.anim,0,1,3.5,0,0,0.9,0,0,0,524,0
0,MOVE,0,Monster\Deixel\Deixel_walk.anim,1,1,1.3,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Deixel\Deixel_crun.anim,1,1,1.3,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\Deixel\Deixel_att1.anim,4,1,2.9,0,0,0.45,0,1,0,521,0
0,ATTACK,5,Monster\Deixel\Deixel_att2.anim,4,1,4.2,0,0,0.6,0,1,0,522,0
0,ATTACK,6,Monster\Deixel\Deixel_att3.anim,4,1,3.5,0,0,0.82,0,1,0,523,0
0,ATTACK,9,Monster\Deixel\Deixel_att4.anim,4,1,3.5,0,0,0.9,0,1,0,524,0
0,BLOCKING,0,Monster\Deixel\Deixel_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Deixel\Deixel_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Deixel\Deixel_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Deixel\Deixel_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Deixel\Deixel_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Deixel\Deixel_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Deixel\Deixel_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Deixel\Deixel_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Deixel\Deixel_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Deixel\Deixel_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Deixel\Deixel_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Deixel\Deixel_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Deixel\Deixel_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Deixel\Deixel_die.anim,4,1,4,0,0,0.1,1,0,0,520,0
0,GUARDING,0,monster\Deixel\Deixel_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Deixel\Deixel_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Deixel\Deixel_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
