Creature,MONSTER,,,,,,,,,,,,,
Index,2026,,,,,,,,,,,,,
Skeleton,Monster\Demon_saiph.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Demon_saiph\Demon_saiph_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Demon_saiph\Demon_saiph_cstand.anim,1,1,1.33,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Demon_saiph\Demon_saiph_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Demon_saiph\Demon_saiph_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Demon_saiph\Demon_saiph_att01.anim,4,1,1.3,0,0,0.58,0,1,0,94,0
0,ATTACK,1,Monster\Demon_saiph\Demon_saiph_att02.anim,4,1,2,0,0,0.36,0,1,0,95,0
0,ATTACK,2,Monster\Demon_saiph\Demon_saiph_att03.anim,4,1,1.6,0,0,0.62,0,1,0,96,0
0,ATTACK,9,Monster\Demon_saiph\Demon_saiph_att01.anim,4,1,1.3,0,0,0.58,0,1,0,94,0
0,BLOCKING,0,Monster\Demon_saiph\Demon_saiph_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Demon_saiph\Demon_saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Demon_saiph\Demon_saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Demon_saiph\Demon_saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Demon_saiph\Demon_saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Demon_saiph\Demon_saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Demon_saiph\Demon_saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Demon_saiph\Demon_saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Demon_saiph\Demon_saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Demon_saiph\Demon_saiph_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Demon_saiph\Demon_saiph_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Demon_saiph\Demon_saiph_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Demon_saiph\Demon_saiph_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Demon_saiph\Demon_saiph_die.anim,4,1,4,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\Demon_saiph\Demon_saiph_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Demon_saiph\Demon_saiph_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Demon_saiph\Demon_saiph_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
