Creature,MONSTER,,,,,,,,,,,
Index,2432,,,,,,,,,,,
Skeleton,Monster\demon_succubus.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\demon_succubus\demon_succubus_stand.anim,4,1,1.33,0,0,0,0,0,0
0,STAND,1,Monster\demon_succubus\demon_succubus_cstand.anim,4,1,1.33,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\demon_succubus\demon_succubus_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\demon_succubus\demon_succubus_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\demon_succubus\demon_succubus_att01.anim,4,1,1.33,0,0,0.45,0,1,0
0,ATTACK,1,Monster\demon_succubus\demon_succubus_att01.anim,4,1,1.33,0,0,0.45,0,1,0
0,ATTACK,2,Monster\demon_succubus\demon_succubus_att01.anim,4,1,1.33,0,0,0.45,0,1,0
0,ATTACK,3,Monster\demon_succubus\demon_succubus_att01.anim,4,1,1.33,0,0,0.45,0,1,0
0,ATTACK,4,Monster\demon_succubus\demon_succubus_att01.anim,4,1,1.33,0,0,0.45,0,1,0
0,ATTACK,5,Monster\demon_succubus\demon_succubus_att01.anim,4,1,1.33,0,0,0.45,0,1,0
0,ATTACK,6,Monster\demon_succubus\demon_succubus_att01.anim,4,1,1.33,0,0,0.45,0,1,0
0,BLOCKING,0,Monster\demon_succubus\demon_succubus_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Monster\demon_succubus\demon_succubus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\demon_succubus\demon_succubus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\demon_succubus\demon_succubus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\demon_succubus\demon_succubus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\demon_succubus\demon_succubus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\demon_succubus\demon_succubus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\demon_succubus\demon_succubus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\demon_succubus\demon_succubus_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\demon_succubus\demon_succubus_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\demon_succubus\demon_succubus_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\demon_succubus\demon_succubus_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\demon_succubus\demon_succubus_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\demon_succubus\demon_succubus_die.anim,4,1,1.4,0,0,0.1,1,0,0
0,GUARDING,0,Monster\demon_succubus\demon_succubus_guard1.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,1,Monster\demon_succubus\demon_succubus_guard2.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,2,Monster\demon_succubus\demon_succubus_guard3.anim,10,1,0.4,0,0,0,0,0,0
