Creature,MONSTER,,,,,,,,,,,,,
Index,2203,,,,,,,,,,,,,
Skeleton,Monster\Desair.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Desair\Desair_stand.anim,1,1,6,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Desair\Desair_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Desair\Desair_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Desair\Desair_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Desair\Desair_att01.anim,4,1,1.5,0,0,0.26,0,1,0,116,0
0,ATTACK,2,Monster\Desair\Desair_att02.anim,4,1,1.5,0,0,0.22,0,1,0,117,0
0,BLOCKING,0,Monster\Desair\Desair_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Desair\Desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Desair\Desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Desair\Desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Desair\Desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Desair\Desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Desair\Desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Desair\Desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Desair\Desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Desair\Desair_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Desair\Desair_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Desair\Desair_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Desair\Desair_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Desair\Desair_die.anim,4,1,4,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\Desair\Desair_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Desair\Desair_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Desair\Desair_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
