Creature,MONSTER,,,,,,,,,,,
Index,2048,,,,,,,,,,,
Skeleton,Monster\devilworker.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\devilworker\devilworker_stand.anim,1,1,1.33,0,0,0,0,0,0
0,STAND,1,Monster\devilworker\devilworker_cstand.anim,1,1,1.4,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\devilworker\devilworker_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\devilworker\devilworker_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\devilworker\devilworker_att1.anim,4,1,0.980187,0,0,0.49,0,1,0
0,ATTACK,1,Monster\devilworker\devilworker_att1.anim,4,1,0.980187,0,0,0.49,0,1,0
0,ATTACK,2,Monster\devilworker\devilworker_att1.anim,4,1,0.980187,0,0,0.49,0,1,0
0,BLOCKING,0,Monster\devilworker\devilworker_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\devilworker\devilworker_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\devilworker\devilworker_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\devilworker\devilworker_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\devilworker\devilworker_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\devilworker\devilworker_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\devilworker\devilworker_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\devilworker\devilworker_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\devilworker\devilworker_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\devilworker\devilworker_p1.anim,5,1,0.56,0,0,0,0,0,0
0,DEFEAT,1,Monster\devilworker\devilworker_p2.anim,5,1,0.56,0,0,0,0,0,0
0,DEFEAT,2,Monster\devilworker\devilworker_p3.anim,5,1,0.56,0,0,0,0,0,0
0,DEFEAT,3,Monster\devilworker\devilworker_p4.anim,5,1,0.56,0,0,0,0,0,0
0,DEAD,0,Monster\devilworker\devilworker_die.anim,4,1,1,0,0,0.1,1,0,0
0,GUARDING,0,monster\devilworker\devilworker_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,monster\devilworker\devilworker_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,monster\devilworker\devilworker_guard3.anim,10,1,1,0,0,0,0,0,0
