Creature,MONSTER,,,,,,,,,,,
Index,1302,,,,,,,,,,,
Skeleton,Monster\eagerhand.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\eagerhand\eagerhand_stand.anim,4,1,2.7,0,0,0,0,0,0
0,STAND,1,Monster\eagerhand\eagerhand_cstand.anim,4,1,1.7,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\eagerhand\eagerhand_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\eagerhand\eagerhand_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\eagerhand\eagerhand_att01.anim,4,1,1.29056,0,0,0.7,0,1,0
0,ATTACK,1,Monster\eagerhand\eagerhand_att02.anim,4,1,1.246663,0,0,0.78,0,1,0
0,ATTACK,2,Monster\eagerhand\eagerhand_att02.anim,4,1,1.246663,0,0,0.78,0,1,0
0,BLOCKING,0,Monster\eagerhand\eagerhand_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\eagerhand\eagerhand_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\eagerhand\eagerhand_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\eagerhand\eagerhand_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\eagerhand\eagerhand_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\eagerhand\eagerhand_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\eagerhand\eagerhand_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\eagerhand\eagerhand_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\eagerhand\eagerhand_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\eagerhand\eagerhand_p1.anim,10,1,0.6,0,0,0,0,0,0
0,DEFEAT,1,Monster\eagerhand\eagerhand_p2.anim,10,1,0.6,0,0,0,0,0,0
0,DEFEAT,2,Monster\eagerhand\eagerhand_p3.anim,10,1,0.6,0,0,0,0,0,0
0,DEFEAT,3,Monster\eagerhand\eagerhand_p4.anim,10,1,0.6,0,0,0,0,0,0
0,DEAD,0,Monster\eagerhand\eagerhand_die.anim,4,1,1.8,0,0,0.1,1,0,0
0,GUARDING,0,Monster\eagerhand\eagerhand_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Monster\eagerhand\eagerhand_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Monster\eagerhand\eagerhand_guard3.anim,10,1,1,0,0,0,0,0,0
