Creature,MONSTER,,,,,,,,,,,,,
Index,3801,,,,,,,,,,,,,
Skeleton,Monster\effroi.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\effroi\effroi_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\effroi\effroi_cstand.anim,1,1,2.33,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\effroi\effroi_walk.anim,1,1,1.33,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\effroi\effroi_walk.anim,1,1,1.33,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\effroi\effroi_att01.anim,4,1,3.33,0,0,0.65,0,1,0,480,0
0,ATTACK,5,Monster\effroi\effroi_att02.anim,4,1,5.66,0,0,0.64,0,1,0,481,0
0,ATTACK,6,Monster\effroi\effroi_att03.anim,4,1,4,0,0,0.75,0,1,0,482,0
0,BLOCKING,0,Monster\effroi\effroi_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\effroi\effroi_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\effroi\effroi_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\effroi\effroi_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\effroi\effroi_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\effroi\effroi_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\effroi\effroi_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\effroi\effroi_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\effroi\effroi_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\effroi\effroi_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\effroi\effroi_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\effroi\effroi_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\effroi\effroi_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\effroi\effroi_die.anim,4,1,6,0,0,0.1,1,0,0,479,0
0,GUARDING,0,monster\effroi\effroi_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\effroi\effroi_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\effroi\effroi_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
