Creature,MONSTER,,,,,,,,,,,,,
Index,2204,,,,,,,,,,,,,
Skeleton,Monster\eris.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\eris\eris_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\eris\eris_cstand.anim,1,1,1.2,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\eris\eris_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\eris\eris_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\eris\eris_att01.anim,4,1,1.3,0,0,0.7,0,1,0,90,0
0,ATTACK,2,Monster\eris\eris_att02.anim,4,1,1.5,0,0,0.55,0,1,0,90,0
0,BLOCKING,0,Monster\eris\eris_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\eris\eris_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\eris\eris_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\eris\eris_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\eris\eris_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\eris\eris_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\eris\eris_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\eris\eris_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\eris\eris_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\eris\eris_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\eris\eris_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\eris\eris_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\eris\eris_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\eris\eris_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\eris\eris_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\eris\eris_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\eris\eris_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
