Creature,MONSTER,,,,,,,,,,,,,
Index,3515,,,,,,,,,,,,,
Skeleton,Monster\Event_mob01.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Event_mob01\Event_mob01_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Event_mob01\Event_mob01_cstand.anim,1,1,1.5,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Event_mob01\Event_mob01_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Event_mob01\Event_mob01_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Event_mob01\Event_mob01_att1.anim,4,1,1.3,0,0,0.55,0,1,0,471,0
0,ATTACK,1,Monster\Event_mob01\Event_mob01_att2.anim,4,1,2,0,0,0.7,0,1,0,472,0
0,BLOCKING,0,Monster\Event_mob01\Event_mob01_blocking.anim,1,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Event_mob01\Event_mob01_blocked.anim,1,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Event_mob01\Event_mob01_blocked.anim,1,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Event_mob01\Event_mob01_blocked.anim,1,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Event_mob01\Event_mob01_blocked.anim,1,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Event_mob01\Event_mob01_blocked.anim,1,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Event_mob01\Event_mob01_blocked.anim,1,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Event_mob01\Event_mob01_blocked.anim,1,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Event_mob01\Event_mob01_blocked.anim,1,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Event_mob01\Event_mob01_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Event_mob01\Event_mob01_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Event_mob01\Event_mob01_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Event_mob01\Event_mob01_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Event_mob01\Event_mob01_die.anim,4,1,3,0,0,0.1,1,0,0,470,0
0,GUARDING,0,monster\Event_mob01\Event_mob01_guard1,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Event_mob01\Event_mob01_guard2,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Event_mob01\Event_mob01_guard3,10,1,0.5,0,0,0,0,0,0,0,0
