Creature,MONSTER,,,,,,,,,,,,,
Index,2264,,,,,,,,,,,,,
Skeleton,Monster\fafnir.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\fafnir\fafnir_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\fafnir\fafnir_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\fafnir\fafnir_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\fafnir\fafnir_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\fafnir\fafnir_att01.anim,4,1,1,0,0,0.8,0,1,0,138,0
0,ATTACK,1,Monster\fafnir\fafnir_att02.anim,4,1,2,0,0,0.75,0,1,0,139,0
0,ATTACK,2,Monster\fafnir\fafnir_att03.anim,4,1,4,0,0,0.41,0,1,0,140,0
0,BLOCKING,0,Monster\fafnir\fafnir_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\fafnir\fafnir_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\fafnir\fafnir_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\fafnir\fafnir_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\fafnir\fafnir_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\fafnir\fafnir_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\fafnir\fafnir_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\fafnir\fafnir_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\fafnir\fafnir_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\fafnir\fafnir_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\fafnir\fafnir_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\fafnir\fafnir_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\fafnir\fafnir_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\fafnir\fafnir_die.anim,4,1,2.6,0,0,0.1,1,0,0,141,0
0,GUARDING,0,monster\fafnir\fafnir_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\fafnir\fafnir_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\fafnir\fafnir_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
