Creature,MONSTER,,,,,,,,,,,
Index,2306,,,,,,,,,,,
Skeleton,Monster\fenril_hunter.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\fenril_hunter\fenril_hunter_stand.anim,4,1,2.5,0,0,0,0,0,0
0,STAND,1,Monster\fenril_hunter\fenril_hunter_cstand.anim,4,1,1.3,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\fenril_hunter\fenril_hunter_walk.anim,4,1,0.96,0,0,0,0,0,0
0,MOVE,1,Monster\fenril_hunter\fenril_hunter_run.anim,4,1,0.9,0,0,0,0,0,0
0,ATTACK,0,Monster\fenril_hunter\fenril_hunter_attack.anim,4,1,2.3,0,0,0.45,0,1,0
0,ATTACK,1,Monster\fenril_hunter\fenril_hunter_attack.anim,4,1,2.3,0,0,0.45,0,1,0
0,ATTACK,2,Monster\fenril_hunter\fenril_hunter_attack.anim,4,1,2.3,0,0,0.45,0,1,0
0,ATTACK,3,Monster\fenril_hunter\fenril_hunter_attack.anim,4,1,2.3,0,0,0.45,0,1,0
0,ATTACK,4,Monster\fenril_hunter\fenril_hunter_attack.anim,4,1,2.3,0,0,0.45,0,1,0
0,ATTACK,5,Monster\fenril_hunter\fenril_hunter_attack.anim,4,1,2.3,0,0,0.45,0,1,0
0,ATTACK,6,Monster\fenril_hunter\fenril_hunter_attack.anim,4,1,2.3,0,0,0.45,0,1,0
0,BLOCKING,0,Monster\fenril_hunter\fenril_hunter_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,0,Monster\fenril_hunter\fenril_hunter_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\fenril_hunter\fenril_hunter_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\fenril_hunter\fenril_hunter_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\fenril_hunter\fenril_hunter_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\fenril_hunter\fenril_hunter_die.anim,4,1,1.2,0,0,0.1,1,0,0
0,GUARDING,0,Monster\fenril_hunter\fenril_hunter_guard1.anim,10,1,0.5,0,0,0,0,0,0
0,GUARDING,1,Monster\fenril_hunter\fenril_hunter_guard2.anim,10,1,0.5,0,0,0,0,0,0
0,GUARDING,2,Monster\fenril_hunter\fenril_hunter_guard3.anim,10,1,0.5,0,0,0,0,0,0
