Creature,MONSTER,,,,,,,,,,,,,
Index,2426,,,,,,,,,,,,,
Skeleton,Monster\fiend_tregard.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\fiend_tregard\fiend_tregard_stand.anim,1,1,1,0,0,0,0,0,0,0,0
0,STAND,1,Monster\fiend_tregard\fiend_tregard_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\fiend_tregard\fiend_tregard_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\fiend_tregard\fiend_tregard_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,3,Monster\fiend_tregard\fiend_tregard_att01.anim,4,1,1,0,0,0.56,0,1,0,118,0
0,BLOCKING,0,Monster\fiend_tregard\fiend_tregard_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\fiend_tregard\fiend_tregard_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\fiend_tregard\fiend_tregard_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\fiend_tregard\fiend_tregard_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\fiend_tregard\fiend_tregard_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\fiend_tregard\fiend_tregard_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\fiend_tregard\fiend_tregard_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\fiend_tregard\fiend_tregard_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\fiend_tregard\fiend_tregard_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\fiend_tregard\fiend_tregard_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\fiend_tregard\fiend_tregard_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\fiend_tregard\fiend_tregard_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\fiend_tregard\fiend_tregard_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\fiend_tregard\fiend_tregard_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\fiend_tregard\fiend_tregard_Guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\fiend_tregard\fiend_tregard_Guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\fiend_tregard\fiend_tregard_Guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
