Creature,MONSTER,,,,,,,,,,,,,
Index,2312,,,,,,,,,,,,,
Skeleton,Monster\Fogery.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Fogery\Fogery_stand.anim,1,1,5.3,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Fogery\Fogery_cstand.anim,1,1,1.2,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Fogery\Fogery_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Fogery\Fogery_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Fogery\Fogery_att01.anim,4,1,1.36,0,0,0.53,0,1,0,84,0
0,ATTACK,1,Monster\Fogery\Fogery_att02.anim,4,1,2,0,0,0.25,0,1,0,85,0
0,ATTACK,2,Monster\Fogery\Fogery_att03.anim,4,1,1.33,0,0,0.62,0,1,0,86,0
0,ATTACK,9,Monster\Fogery\Fogery_att01.anim,4,1,1.36,0,0,0.53,0,1,0,84,0
0,BLOCKING,0,Monster\Fogery\Fogery_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Fogery\Fogery_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Fogery\Fogery_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Fogery\Fogery_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Fogery\Fogery_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Fogery\Fogery_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Fogery\Fogery_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Fogery\Fogery_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Fogery\Fogery_blocked.anim,10,1,1.03,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Fogery\Fogery_p1.anim,5,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Fogery\Fogery_p2.anim,5,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Fogery\Fogery_p3.anim,5,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Fogery\Fogery_p4.anim,5,1,0.6,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Fogery\Fogery_die.anim,4,1,2.6,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\Fogery\Fogery_blocking.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Fogery\Fogery_blocking.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Fogery\Fogery_blocking.anim,10,1,0.6,0,0,0,0,0,0,0,0
