Creature,MONSTER,,,,,,,,,,,,,
Index,2072,,,,,,,,,,,,,
Skeleton,Monster\Fraus.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Fraus\Fraus_stand.anim,4,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Fraus\Fraus_cstand.anim,4,1,1.3,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Fraus\Fraus_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Fraus\Fraus_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Fraus\Fraus_att02.anim,4,1,1,0,0,0.5,0,1,0,0,0
0,ATTACK,2,Monster\Fraus\Fraus_att01.anim,4,1,1.33,0,0,0.475,0,1,0,62,1400
0,BLOCKING,0,Monster\Fraus\Fraus_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Fraus\Fraus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Fraus\Fraus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Fraus\Fraus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Fraus\Fraus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Fraus\Fraus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Fraus\Fraus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Fraus\Fraus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Fraus\Fraus_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Fraus\Fraus_p1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Fraus\Fraus_p2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Fraus\Fraus_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Fraus\Fraus_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Fraus\Fraus_die.anim,4,1,2.33,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\Fraus\Fraus_guard1.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\Fraus\Fraus_guard2.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\Fraus\Fraus_guard3.anim,10,1,0.4,0,0,0,0,0,0,0,0
