Creature,MONSTER,,,,,,,,,,,
Index,3185,,,,,,,,,,,
Skeleton,Monster\frozengiant.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\frozengiant\frozengiant_stand.anim,4,1,4,0,0,0,0,0,0
0,STAND,1,Monster\frozengiant\frozengiant_cstand.anim,4,1,1.3,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\frozengiant\frozengiant_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\frozengiant\frozengiant_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,4,Monster\frozengiant\frozengiant_att03.anim,4,1,1.214195,0,0,0.8,0,1,0
0,ATTACK,5,Monster\frozengiant\frozengiant_att02.anim,4,1,1.88,0,0,0.65,0,1,0
0,BLOCKING,0,Monster\frozengiant\frozengiant_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\frozengiant\frozengiant_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\frozengiant\frozengiant_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\frozengiant\frozengiant_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\frozengiant\frozengiant_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\frozengiant\frozengiant_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\frozengiant\frozengiant_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\frozengiant\frozengiant_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\frozengiant\frozengiant_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\frozengiant\frozengiant_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\frozengiant\frozengiant_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\frozengiant\frozengiant_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\frozengiant\frozengiant_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\frozengiant\frozengiant_die.anim,4,1,1.7,0,0,0.1,1,0,0
0,GUARDING,0,Monster\frozengiant\frozengiant_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Monster\frozengiant\frozengiant_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Monster\frozengiant\frozengiant_guard3.anim,10,1,1,0,0,0,0,0,0
