Creature,MONSTER,,,,,,,,,,,,,
Index,2805,,,,,,,,,,,,,
Skeleton,Monster\gaap.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\gaap\gaap_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\gaap\gaap_cstand.anim,1,1,1.76,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\gaap\gaap_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\gaap\gaap_run.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\gaap\gaap_att01.anim,4,1,1,0,0,0.54,0,1,0,278,0
0,ATTACK,1,Monster\gaap\gaap_att02.anim,4,1,1.5,0,0,0.46,0,1,0,279,0
0,BLOCKING,0,Monster\gaap\gaap_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\gaap\gaap_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\gaap\gaap_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\gaap\gaap_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\gaap\gaap_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\gaap\gaap_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\gaap\gaap_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\gaap\gaap_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\gaap\gaap_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\gaap\gaap_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\gaap\gaap_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\gaap\gaap_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\gaap\gaap_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\gaap\gaap_die.anim,4,1,1.66,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\gaap\gaap_guard01.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\gaap\gaap_guard02.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\gaap\gaap_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
