Creature,MONSTER,,,,,,,,,,,,,
Index,3604,,,,,,,,,,,,,
Skeleton,Monster\gavian_equites.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\gavian_equites\gavian_equites_stand.anim,1,1,3,0,0,0,0,0,0,0,0
0,STAND,1,Monster\gavian_equites\gavian_equites_cstand.anim,1,1,1.3,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\gavian_equites\gavian_equites_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\gavian_equites\gavian_equites_crun.anim,1,1,1.2,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\gavian_equites\gavian_equites_att1.anim,4,1,1.5,0,0,0.75,0,1,0,337,0
0,ATTACK,5,Monster\gavian_equites\gavian_equites_att2.anim,4,1,1.7,0,0,0.8,0,1,0,338,0
0,BLOCKING,0,Monster\gavian_equites\gavian_equites_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\gavian_equites\gavian_equites_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\gavian_equites\gavian_equites_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\gavian_equites\gavian_equites_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\gavian_equites\gavian_equites_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\gavian_equites\gavian_equites_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\gavian_equites\gavian_equites_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\gavian_equites\gavian_equites_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\gavian_equites\gavian_equites_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\gavian_equites\gavian_equites_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\gavian_equites\gavian_equites_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\gavian_equites\gavian_equites_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\gavian_equites\gavian_equites_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\gavian_equites\gavian_equites_die.anim,4,1,2,0,0,0.1,1,0,0,336,0
0,GUARDING,0,monster\gavian_equites\gavian_equites_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\gavian_equites\gavian_equites_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\gavian_equites\gavian_equites_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
