Creature,MONSTER,,,,,,,,,,,,,
Index,3605,,,,,,,,,,,,,
Skeleton,Monster\Gavian_Legate.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Gavian_Legate\Gavian_Legate_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Gavian_Legate\Gavian_Legate_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Gavian_Legate\Gavian_Legate_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Gavian_Legate\Gavian_Legate_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\Gavian_Legate\Gavian_Legate_att01.anim,4,1,1.5,0,0,0.53,0,1,0,365,0
0,ATTACK,5,Monster\Gavian_Legate\Gavian_Legate_att03.anim,4,1,1.5,0,0,0.55,0,1,0,367,0
0,ATTACK,6,Monster\Gavian_Legate\Gavian_Legate_att02.anim,4,1,1.5,0,0,0.51,0,1,0,366,0
0,BLOCKING,0,Monster\Gavian_Legate\Gavian_Legate_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Gavian_Legate\Gavian_Legate_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Gavian_Legate\Gavian_Legate_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Gavian_Legate\Gavian_Legate_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Gavian_Legate\Gavian_Legate_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Gavian_Legate\Gavian_Legate_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Gavian_Legate\Gavian_Legate_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Gavian_Legate\Gavian_Legate_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Gavian_Legate\Gavian_Legate_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Gavian_Legate\Gavian_Legate_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Gavian_Legate\Gavian_Legate_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Gavian_Legate\Gavian_Legate_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Gavian_Legate\Gavian_Legate_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Gavian_Legate\Gavian_Legate_die.anim,4,1,1.66,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\Gavian_Legate\Gavian_Legate_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Gavian_Legate\Gavian_Legate_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Gavian_Legate\Gavian_Legate_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
