Creature,MONSTER,,,,,,,,,,,,,
Index,3606,,,,,,,,,,,,,
Skeleton,Monster\gavian_quaestor.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\gavian_quaestor\gavian_quaestor_stand.anim,1,1,3,0,0,0,0,0,0,0,0
0,STAND,1,Monster\gavian_quaestor\gavian_quaestor_cstand.anim,1,1,1.3,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\gavian_quaestor\gavian_quaestor_walk.anim,1,1,1.2,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\gavian_quaestor\gavian_quaestor_crun.anim,1,1,1.2,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\gavian_quaestor\gavian_quaestor_att1.anim,4,1,1.4,0,0,0.77,0,1,0,362,0
0,ATTACK,5,Monster\gavian_quaestor\gavian_quaestor_att2.anim,4,1,1.6,0,0,0.8,0,1,0,363,0
0,BLOCKING,0,Monster\gavian_quaestor\gavian_quaestor_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\gavian_quaestor\gavian_quaestor_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\gavian_quaestor\gavian_quaestor_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\gavian_quaestor\gavian_quaestor_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\gavian_quaestor\gavian_quaestor_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\gavian_quaestor\gavian_quaestor_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\gavian_quaestor\gavian_quaestor_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\gavian_quaestor\gavian_quaestor_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\gavian_quaestor\gavian_quaestor_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\gavian_quaestor\gavian_quaestor_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\gavian_quaestor\gavian_quaestor_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\gavian_quaestor\gavian_quaestor_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\gavian_quaestor\gavian_quaestor_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\gavian_quaestor\gavian_quaestor_die.anim,4,1,2,0,0,0.1,1,0,0,336,0
0,GUARDING,0,monster\gavian_quaestor\gavian_quaestor_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\gavian_quaestor\gavian_quaestor_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\gavian_quaestor\gavian_quaestor_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
