Creature,MONSTER,,,,,,,,,,,,,
Index,3601,,,,,,,,,,,,,
Skeleton,Monster\gavian_tribune.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\gavian_tribune\gavian_tribune_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\gavian_tribune\gavian_tribune_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\gavian_tribune\gavian_tribune_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\gavian_tribune\gavian_tribune_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\gavian_tribune\gavian_tribune_att01.anim,4,1,2,0,0,0.51,0,1,0,326,0
0,ATTACK,1,Monster\gavian_tribune\gavian_tribune_att02.anim,4,1,2,0,0,0.45,0,1,0,327,0
0,BLOCKING,0,Monster\gavian_tribune\gavian_tribune_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\gavian_tribune\gavian_tribune_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\gavian_tribune\gavian_tribune_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\gavian_tribune\gavian_tribune_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\gavian_tribune\gavian_tribune_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\gavian_tribune\gavian_tribune_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\gavian_tribune\gavian_tribune_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\gavian_tribune\gavian_tribune_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\gavian_tribune\gavian_tribune_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\gavian_tribune\gavian_tribune_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\gavian_tribune\gavian_tribune_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\gavian_tribune\gavian_tribune_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\gavian_tribune\gavian_tribune_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\gavian_tribune\gavian_tribune_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\gavian_tribune\gavian_tribune_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\gavian_tribune\gavian_tribune_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\gavian_tribune\gavian_tribune_guard03.anim,10,1,0.5,0,0,0,0,0,0,0,0
