Creature,MONSTER,,,,,,,,,,,,,
Index,3614,,,,,,,,,,,,,
Skeleton,Monster\Geb.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Geb\Geb_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Geb\Geb_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Geb\Geb_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Geb\Geb_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Geb\Geb_att01.anim,4,1,1.5,0,0,0.44,0,1,0,348,0
0,ATTACK,1,Monster\Geb\Geb_att02.anim,4,1,1.5,0,0,0.44,0,1,0,349,0
0,BLOCKING,0,Monster\Geb\Geb_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Geb\Geb_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Geb\Geb_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Geb\Geb_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Geb\Geb_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Geb\Geb_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Geb\Geb_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Geb\Geb_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Geb\Geb_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Geb\Geb_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Geb\Geb_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Geb\Geb_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Geb\Geb_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Geb\Geb_die.anim,4,1,3,0,0,0.1,1,0,0,347,0
0,GUARDING,0,monster\Geb\Geb_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Geb\Geb_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Geb\Geb_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
