Creature,MONSTER,,,,,,,,,,,,,
Index,3813,,,,,,,,,,,,,
Skeleton,Monster\Ghostman_archer.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Ghostman_archer\Ghostman_archer_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Ghostman_archer\Ghostman_archer_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Ghostman_archer\Ghostman_archer_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Ghostman_archer\Ghostman_archer_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\Ghostman_archer\Ghostman_archer_att01.anim,4,1,1.5,0,0,0.44,0,1,0,559,0
0,BLOCKING,0,Monster\Ghostman_archer\Ghostman_archer_blocking.anim,10,1,0.5,0,0,0,0,0,0,560,0
0,BLOCKED,0,Monster\Ghostman_archer\Ghostman_archer_blocking.anim,10,1,0.5,0,0,0,0,0,0,560,0
0,BLOCKED,1,Monster\Ghostman_archer\Ghostman_archer_blocking.anim,10,1,0.5,0,0,0,0,0,0,560,0
0,BLOCKED,2,Monster\Ghostman_archer\Ghostman_archer_blocking.anim,10,1,0.5,0,0,0,0,0,0,560,0
0,BLOCKED,3,Monster\Ghostman_archer\Ghostman_archer_blocking.anim,10,1,0.5,0,0,0,0,0,0,560,0
0,BLOCKED,4,Monster\Ghostman_archer\Ghostman_archer_blocking.anim,10,1,0.5,0,0,0,0,0,0,560,0
0,BLOCKED,5,Monster\Ghostman_archer\Ghostman_archer_blocking.anim,10,1,0.5,0,0,0,0,0,0,560,0
0,BLOCKED,6,Monster\Ghostman_archer\Ghostman_archer_blocking.anim,10,1,0.5,0,0,0,0,0,0,560,0
0,BLOCKED,7,Monster\Ghostman_archer\Ghostman_archer_blocking.anim,10,1,0.5,0,0,0,0,0,0,560,0
0,DEFEAT,0,Monster\Ghostman_archer\Ghostman_archer_p4.anim,5,1,0.5,0,0,0,0,0,0,564,0
0,DEFEAT,1,Monster\Ghostman_archer\Ghostman_archer_p4.anim,5,1,0.5,0,0,0,0,0,0,564,0
0,DEFEAT,2,Monster\Ghostman_archer\Ghostman_archer_p4.anim,5,1,0.5,0,0,0,0,0,0,564,0
0,DEFEAT,3,Monster\Ghostman_archer\Ghostman_archer_p4.anim,5,1,0.5,0,0,0,0,0,0,564,0
0,DEAD,0,Monster\Ghostman_archer\Ghostman_archer_die.anim,4,1,3,0,0,0.1,1,0,0,562,0
0,GUARDING,0,monster\Ghostman_archer\Ghostman_archer_guard3.anim,10,1,0.5,0,0,0,0,0,0,563,0
0,GUARDING,1,monster\Ghostman_archer\Ghostman_archer_guard3.anim,10,1,0.5,0,0,0,0,0,0,563,0
0,GUARDING,2,monster\Ghostman_archer\Ghostman_archer_guard3.anim,10,1,0.5,0,0,0,0,0,0,563,0
