Creature,MONSTER,,,,,,,,,,,,,
Index,3810,,,,,,,,,,,,,
Skeleton,Monster\Ghostman_knight.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Ghostman_knight\Ghostman_knight_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Ghostman_knight\Ghostman_knight_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Ghostman_knight\Ghostman_knight_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Ghostman_knight\Ghostman_knight_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Ghostman_knight\Ghostman_knight_att01.anim,4,1,1.5,0,0,0.6,0,1,0,550,0
0,ATTACK,1,Monster\Ghostman_knight\Ghostman_knight_att02.anim,4,1,1.5,0,0,0.55,0,1,0,551,0
0,BLOCKING,0,Monster\Ghostman_knight\Ghostman_knight_blocking.anim,10,1,0.5,0,0,0,0,0,0,553,0
0,BLOCKED,0,Monster\Ghostman_knight\Ghostman_knight_blocked.anim,10,1,1,0,0,0,0,0,0,552,0
0,BLOCKED,1,Monster\Ghostman_knight\Ghostman_knight_blocked.anim,10,1,1,0,0,0,0,0,0,552,0
0,BLOCKED,2,Monster\Ghostman_knight\Ghostman_knight_blocked.anim,10,1,1,0,0,0,0,0,0,552,0
0,BLOCKED,3,Monster\Ghostman_knight\Ghostman_knight_blocked.anim,10,1,1,0,0,0,0,0,0,552,0
0,BLOCKED,4,Monster\Ghostman_knight\Ghostman_knight_blocked.anim,10,1,1,0,0,0,0,0,0,552,0
0,BLOCKED,5,Monster\Ghostman_knight\Ghostman_knight_blocked.anim,10,1,1,0,0,0,0,0,0,552,0
0,BLOCKED,6,Monster\Ghostman_knight\Ghostman_knight_blocked.anim,10,1,1,0,0,0,0,0,0,552,0
0,BLOCKED,7,Monster\Ghostman_knight\Ghostman_knight_blocked.anim,10,1,1,0,0,0,0,0,0,552,0
0,DEFEAT,0,Monster\Ghostman_knight\Ghostman_knight_p4.anim,5,1,0.5,0,0,0,0,0,0,558,0
0,DEFEAT,1,Monster\Ghostman_knight\Ghostman_knight_p4.anim,5,1,0.5,0,0,0,0,0,0,558,0
0,DEFEAT,2,Monster\Ghostman_knight\Ghostman_knight_p4.anim,5,1,0.5,0,0,0,0,0,0,558,0
0,DEFEAT,3,Monster\Ghostman_knight\Ghostman_knight_p4.anim,5,1,0.5,0,0,0,0,0,0,558,0
0,DEAD,0,Monster\Ghostman_knight\Ghostman_knight_die.anim,4,1,2,0,0,0.1,1,0,0,556,0
0,GUARDING,0,monster\Ghostman_knight\Ghostman_knight_guard3.anim,10,1,0.5,0,0,0,0,0,0,557,0
0,GUARDING,1,monster\Ghostman_knight\Ghostman_knight_guard3.anim,10,1,0.5,0,0,0,0,0,0,557,0
0,GUARDING,2,monster\Ghostman_knight\Ghostman_knight_guard3.anim,10,1,0.5,0,0,0,0,0,0,557,0
