Creature,MONSTER,,,,,,,,,,,,,
Index,2311,,,,,,,,,,,,,
Skeleton,Monster\Giantbee.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Giantbee\giantbee_stand.anim,1,1,1,0,0,0,0,0,0,0,0
0,STAND,1,Monster\giantbee\giantbee_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\giantbee\giantbee_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\giantbee\giantbee_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\giantbee\giantbee_att01.anim,4,1,1,0,0,0.56,0,1,0,90,0
0,BLOCKING,0,Monster\giantbee\giantbee_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\giantbee\giantbee_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\giantbee\giantbee_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\giantbee\giantbee_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\giantbee\giantbee_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\giantbee\giantbee_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\giantbee\giantbee_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\giantbee\giantbee_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\giantbee\giantbee_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\giantbee\giantbee_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\giantbee\giantbee_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\giantbee\giantbee_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\giantbee\giantbee_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\giantbee\giantbee_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\giantbee\giantbee_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\giantbee\giantbee_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\giantbee\giantbee_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
