Creature,MONSTER,,,,,,,,,,,,,
Index,2743,,,,,,,,,,,,,
Skeleton,Monster\g_horace.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\g_horace\g_horace_stand.anim,4,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\g_horace\g_horace_cstand.anim,4,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\g_horace\g_horace_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\g_horace\g_horace_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\g_horace\g_horace_att2.anim,4,1,1.33,0,0,0.5,0,1,0,49,1330
0,ATTACK,1,Monster\g_horace\g_horace_att1.anim,4,1,1.33,0,0,0.5,0,1,0,0,0
0,ATTACK,2,Monster\g_horace\g_horace_att1.anim,4,1,1.33,0,0,0.5,0,1,0,48,1330
0,ATTACK,7,Monster\g_horace\g_horace_att2.anim,4,1,1.33,0,0,0.5,0,1,0,48,1330
0,BLOCKING,0,Monster\g_horace\g_horace_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\g_horace\g_horace_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\g_horace\g_horace_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\g_horace\g_horace_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\g_horace\g_horace_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\g_horace\g_horace_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\g_horace\g_horace_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\g_horace\g_horace_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\g_horace\g_horace_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\g_horace\g_horace_p1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\g_horace\g_horace_p2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\g_horace\g_horace_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\g_horace\g_horace_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\g_horace\g_horace_die.anim,4,1,4,0,0,0.1,1,0,0,50,4000
0,GUARDING,0,Monster\g_horace\g_horace_guard1.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\g_horace\g_horace_guard2.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\g_horace\g_horace_guard3.anim,10,1,0.4,0,0,0,0,0,0,0,0
