Creature,MONSTER,,,,,,,,,,,
Index,1402,,,,,,,,,,,
Skeleton,Monster\gold_blaberus.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\goldblaberus\gold_blaberus_stand.anim,1,1,2,0,0,0,0,0,0
0,STAND,1,Monster\goldblaberus\gold_blaberus_cstand.anim,1,1,1.2,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\goldblaberus\gold_blaberus_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\goldblaberus\gold_blaberus_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\goldblaberus\gold_blaberus_att01.anim,4,1,1.2,0,0,0.46,0,1,0
0,ATTACK,1,Monster\goldblaberus\gold_blaberus_att01.anim,4,1,1.2,0,0,0.46,0,1,0
0,ATTACK,2,Monster\goldblaberus\gold_blaberus_att01.anim,4,1,1.2,0,0,0.46,0,1,0
0,BLOCKING,0,Monster\goldblaberus\gold_blaberus_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\goldblaberus\gold_blaberus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\goldblaberus\gold_blaberus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\goldblaberus\gold_blaberus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\goldblaberus\gold_blaberus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\goldblaberus\gold_blaberus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\goldblaberus\gold_blaberus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\goldblaberus\gold_blaberus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\goldblaberus\gold_blaberus_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\goldblaberus\gold_blaberus_p1.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\goldblaberus\gold_blaberus_p2.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\goldblaberus\gold_blaberus_p3.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\goldblaberus\gold_blaberus_p4.anim,5,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\goldblaberus\gold_blaberus_die.anim,4,1,1.7,0,0,0.1,1,0,0
0,GUARDING,0,Monster\goldblaberus\gold_blaberus_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Monster\goldblaberus\gold_blaberus_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Monster\goldblaberus\gold_blaberus_blocking.anim,10,1,1,0,0,0,0,0,0
