Creature,MONSTER,,,,,,,,,,,,,
Index,2807,,,,,,,,,,,,,
Skeleton,Monster\gomory.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\gomory\gomory_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\gomory\gomory_cstand.anim,1,1,1.3,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\gomory\gomory_walk.anim,1,1,1.2,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\gomory\gomory_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\gomory\gomory_att1.anim,4,1,1.3,0,0,0.75,0,1,0,266,0
0,ATTACK,1,Monster\gomory\gomory_att2.anim,4,1,1.5,0,0,0.7,0,1,0,267,0
0,BLOCKING,0,Monster\gomory\gomory_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\gomory\gomory_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\gomory\gomory_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\gomory\gomory_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\gomory\gomory_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\gomory\gomory_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\gomory\gomory_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\gomory\gomory_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\gomory\gomory_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\gomory\gomory_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\gomory\gomory_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\gomory\gomory_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\gomory\gomory_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\gomory\gomory_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\gomory\gomory_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,0,monster\gomory\gomory_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,0,monster\gomory\gomory_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
