Creature,MONSTER,,,,,,,,,,,
Index,1905,,,,,,,,,,,
Skeleton,Monster\giant_morpha.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\giant_morpha\giant_morpha_stand.anim,4,1,0.4,0,0,0,0,0,0
0,STAND,1,Monster\giant_morpha\giant_morpha_cstand.anim,4,1,1.6,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\giant_morpha\giant_morpha_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\giant_morpha\giant_morpha_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\giant_morpha\giant_morpha_att01.anim,4,1,0.8,0,0,0.71,0,1,0
0,ATTACK,1,Monster\giant_morpha\giant_morpha_att01.anim,4,1,0.8,0,0,0.71,0,1,0
0,ATTACK,2,Monster\giant_morpha\giant_morpha_att01.anim,4,1,0.8,0,0,0.71,0,1,0
0,ATTACK,9,Monster\giant_morpha\giant_morpha_att01.anim,4,1,0.8,0,0,0.71,0,1,0
0,BLOCKING,0,Monster\giant_morpha\giant_morpha_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\giant_morpha\giant_morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\giant_morpha\giant_morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\giant_morpha\giant_morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\giant_morpha\giant_morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\giant_morpha\giant_morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\giant_morpha\giant_morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\giant_morpha\giant_morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\giant_morpha\giant_morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\giant_morpha\giant_morpha_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\giant_morpha\giant_morpha_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\giant_morpha\giant_morpha_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\giant_morpha\giant_morpha_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\giant_morpha\giant_morpha_die.anim,4,1,1,0,0,0.1,1,0,0
0,GUARDING,0,Monster\giant_morpha\giant_morpha_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Monster\giant_morpha\giant_morpha_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Monster\giant_morpha\giant_morpha_blocking.anim,10,1,1,0,0,0,0,0,0
