Creature,MONSTER,,,,,,,,,,,,,
Index,3717,,,,,,,,,,,,,
Skeleton,Monster\Grieve_Manes.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Grieve_Manes\Grieve_Manes_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Grieve_Manes\Grieve_Manes_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Grieve_Manes\Grieve_Manes_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Grieve_Manes\Grieve_Manes_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Grieve_Manes\Grieve_Manes_att01.anim,4,1,1.5,0,0,0.6,0,1,0,454,0
0,BLOCKING,0,Monster\Grieve_Manes\Grieve_Manes_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Grieve_Manes\Grieve_Manes_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Grieve_Manes\Grieve_Manes_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Grieve_Manes\Grieve_Manes_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Grieve_Manes\Grieve_Manes_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Grieve_Manes\Grieve_Manes_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Grieve_Manes\Grieve_Manes_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Grieve_Manes\Grieve_Manes_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Grieve_Manes\Grieve_Manes_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Grieve_Manes\Grieve_Manes_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Grieve_Manes\Grieve_Manes_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Grieve_Manes\Grieve_Manes_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Grieve_Manes\Grieve_Manes_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Grieve_Manes\Grieve_Manes_die.anim,4,1,2,0,0,0.1,1,0,0,453,0
0,GUARDING,0,monster\Grieve_Manes\Grieve_Manes_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Grieve_Manes\Grieve_Manes_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Grieve_Manes\Grieve_Manes_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
