Creature,MONSTER,,,,,,,,,,,,,
Index,2367,,,,,,,,,,,,,
Skeleton,Monster\grim_desair.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\grim_desair\grim_desair_stand.anim,1,1,6,0,0,0,0,0,0,0,0
0,STAND,1,Monster\grim_desair\grim_desair_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\grim_desair\grim_desair_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\grim_desair\grim_desair_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\grim_desair\grim_desair_att01.anim,4,1,1.5,0,0,0.26,0,1,0,116,0
0,ATTACK,2,Monster\grim_desair\grim_desair_att02.anim,4,1,1.5,0,0,0.22,0,1,0,117,0
0,BLOCKING,0,Monster\grim_desair\grim_desair_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\grim_desair\grim_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\grim_desair\grim_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\grim_desair\grim_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\grim_desair\grim_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\grim_desair\grim_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\grim_desair\grim_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\grim_desair\grim_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\grim_desair\grim_desair_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\grim_desair\grim_desair_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\grim_desair\grim_desair_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\grim_desair\grim_desair_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\grim_desair\grim_desair_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\grim_desair\grim_desair_die.anim,4,1,4,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\grim_desair\grim_desair_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\grim_desair\grim_desair_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\grim_desair\grim_desair_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
