Creature,MONSTER,,,,,,,,,,,,,
Index,2354,,,,,,,,,,,,,
Skeleton,Monster\grim_ziologan_lord.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\grim_ziologan_lord\grim_ziologan_lord_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\grim_ziologan_lord\grim_ziologan_lord_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\grim_ziologan_lord\grim_ziologan_lord_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\grim_ziologan_lord\grim_ziologan_lord_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\grim_ziologan_lord\grim_ziologan_lord_att01.anim,4,1,1,0,0,0.66,0,1,0,87,0
0,ATTACK,1,Monster\grim_ziologan_lord\grim_ziologan_lord_att02.anim,4,1,0.75,0,0,0.5,0,1,0,88,0
0,BLOCKING,0,Monster\grim_ziologan_lord\grim_ziologan_lord_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\grim_ziologan_lord\grim_ziologan_lord_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\grim_ziologan_lord\grim_ziologan_lord_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\grim_ziologan_lord\grim_ziologan_lord_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\grim_ziologan_lord\grim_ziologan_lord_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\grim_ziologan_lord\grim_ziologan_lord_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\grim_ziologan_lord\grim_ziologan_lord_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\grim_ziologan_lord\grim_ziologan_lord_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\grim_ziologan_lord\grim_ziologan_lord_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\grim_ziologan_lord\grim_ziologan_lord_p1.anim,5,1,0.4,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\grim_ziologan_lord\grim_ziologan_lord_p2.anim,5,1,0.4,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\grim_ziologan_lord\grim_ziologan_lord_p3.anim,5,1,0.4,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\grim_ziologan_lord\grim_ziologan_lord_p4.anim,5,1,0.4,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\grim_ziologan_lord\grim_ziologan_lord_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\grim_ziologan_lord\grim_ziologan_lord_blocking.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\grim_ziologan_lord\grim_ziologan_lord_blocking.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\grim_ziologan_lord\grim_ziologan_lord_blocking.anim,10,1,0.66,0,0,0,0,0,0,0,0
