Creature,MONSTER,,,,,,,,,,,
Index,2030,,,,,,,,,,,
Skeleton,Monster\hailom.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\hailom\hailom_stand.anim,1,1,1.2,0,0,0,0,0,0
0,STAND,1,Monster\hailom\hailom_cstand.anim,1,1,1.2,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\hailom\hailom_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\hailom\hailom_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\hailom\hailom_att01.anim,4,1,1.2,0,0,0.53,0,0,0
0,BLOCKING,0,Monster\hailom\hailom_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Monster\hailom\hailom_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\hailom\hailom_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\hailom\hailom_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\hailom\hailom_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\hailom\hailom_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\hailom\hailom_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\hailom\hailom_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\hailom\hailom_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\hailom\hailom_p1.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,1,Monster\hailom\hailom_p2.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,2,Monster\hailom\hailom_p3.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,3,Monster\hailom\hailom_p4.anim,5,1,0.66,0,0,0,0,0,0
0,DEAD,0,Monster\hailom\hailom_die.anim,4,1,1.2,0,0,0.1,1,0,0
0,GUARDING,0,monster\hailom\hailom_guard1.anim,10,1,0.66,0,0,0,0,0,0
0,GUARDING,1,monster\hailom\hailom_guard2.anim,10,1,0.66,0,0,0,0,0,0
0,GUARDING,2,monster\hailom\hailom_guard3.anim,10,1,0.66,0,0,0,0,0,0
