Creature,MONSTER,,,,,,,,,,,,,
Index,3956,,,,,,,,,,,,,
Skeleton,Monster\Harold.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Harold\Harold_stand.anim,4,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Harold\Harold_cstand.anim,4,1,2,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Harold\Harold_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Harold\Harold_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Harold\Harold_att01.anim,4,1,3.3,0,0,0.55,0,1,0,608,0
0,ATTACK,1,Monster\Harold\Harold_att02.anim,4,1,4,0,0,0.47,0,1,0,609,0
0,ATTACK,2,Monster\Harold\Harold_att03.anim,4,1,3.9,0,0,0.64,0,1,0,610,0
0,BLOCKING,0,Monster\Harold\Harold_blocking.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Harold\Harold_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Harold\Harold_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Harold\Harold_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Harold\Harold_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Harold\Harold_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Harold\Harold_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Harold\Harold_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Harold\Harold_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Harold\Harold_p4.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Harold\Harold_p4.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Harold\Harold_p4.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Harold\Harold_p4.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Harold\Harold_die.anim,4,1,4,0,0,0.1,1,0,0,607,0
0,GUARDING,0,Monster\Harold\Harold_guard3.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\Harold\Harold_guard3.anim,10,1,0.66,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\Harold\Harold_guard3.anim,10,1,0.66,0,0,0,0,0,0,0,0
