Creature,MONSTER,,,,,,,,,,,
Index,2615,,,,,,,,,,,
Skeleton,Monster\hell_aeshma_hunter.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\hell_aeshma_hunter\hell_aeshma_hunter_stand.anim,4,1,4,0,0,0,0,0,0
0,STAND,1,Monster\hell_aeshma_hunter\hell_aeshma_hunter_cstand.anim,4,1,1,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\hell_aeshma_hunter\hell_aeshma_hunter_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\hell_aeshma_hunter\hell_aeshma_hunter_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\hell_aeshma_hunter\hell_aeshma_hunter_att1.anim,4,1,1.5,0,0,0.66,0,1,0
0,ATTACK,1,Monster\hell_aeshma_hunter\hell_aeshma_hunter_att1.anim,4,1,1.5,0,0,0.66,0,1,0
0,ATTACK,2,Monster\hell_aeshma_hunter\hell_aeshma_hunter_att1.anim,4,1,1.5,0,0,0.66,0,1,0
0,ATTACK,3,Monster\hell_aeshma_hunter\hell_aeshma_hunter_att1.anim,4,1,1.5,0,0,0.66,0,1,0
0,ATTACK,4,Monster\hell_aeshma_hunter\hell_aeshma_hunter_att1.anim,4,1,1.5,0,0,0.66,0,1,0
0,ATTACK,5,Monster\hell_aeshma_hunter\hell_aeshma_hunter_att1.anim,4,1,1.5,0,0,0.66,0,1,0
0,ATTACK,6,Monster\hell_aeshma_hunter\hell_aeshma_hunter_att1.anim,4,1,1.5,0,0,0.66,0,1,0
0,BLOCKING,0,Monster\hell_aeshma_hunter\hell_aeshma_hunter_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Monster\hell_aeshma_hunter\hell_aeshma_hunter_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\hell_aeshma_hunter\hell_aeshma_hunter_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\hell_aeshma_hunter\hell_aeshma_hunter_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\hell_aeshma_hunter\hell_aeshma_hunter_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\hell_aeshma_hunter\hell_aeshma_hunter_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\hell_aeshma_hunter\hell_aeshma_hunter_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\hell_aeshma_hunter\hell_aeshma_hunter_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\hell_aeshma_hunter\hell_aeshma_hunter_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\hell_aeshma_hunter\hell_aeshma_hunter_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\hell_aeshma_hunter\hell_aeshma_hunter_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\hell_aeshma_hunter\hell_aeshma_hunter_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\hell_aeshma_hunter\hell_aeshma_hunter_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\hell_aeshma_hunter\hell_aeshma_hunter_die.anim,4,1,1.333,0,0,0.1,1,0,0
0,GUARDING,0,Monster\hell_aeshma_hunter\hell_aeshma_hunter_guard1.anim,10,1,0.5,0,0,0,0,0,0
0,GUARDING,1,Monster\hell_aeshma_hunter\hell_aeshma_hunter_guard2.anim,10,1,0.5,0,0,0,0,0,0
0,GUARDING,2,Monster\hell_aeshma_hunter\hell_aeshma_hunter_guard3.anim,10,1,0.5,0,0,0,0,0,0
