Creature,MONSTER,,,,,,,,,,,
Index,2706,,,,,,,,,,,
Skeleton,Monster\horace.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\horace\horace_stand.anim,4,1,2,0,0,0,0,0,0
0,STAND,1,Monster\horace\horace_cstand.anim,4,1,1,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\horace\horace_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\horace\horace_walk.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\horace\horace_att2.anim,4,1,1.33,0,0,0.5,0,1,0
0,ATTACK,1,Monster\horace\horace_att2.anim,4,1,1.33,0,0,0.5,0,1,0
0,ATTACK,2,Monster\horace\horace_att1.anim,4,1,1.33,0,0,0.48,0,1,0
0,BLOCKING,0,Monster\horace\horace_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Monster\horace\horace_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\horace\horace_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\horace\horace_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\horace\horace_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\horace\horace_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\horace\horace_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\horace\horace_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\horace\horace_blocked.anim,10,1,1,0,0,0,0,0,0

0,DEFEAT,0,Monster\horace\horace_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\horace\horace_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\horace\horace_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\horace\horace_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\horace\horace_die.anim,4,1,2,0,0,0.1,1,0,0
0,GUARDING,0,Monster\horace\horace_guard1.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,1,Monster\horace\horace_guard2.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,2,Monster\horace\horace_guard3.anim,10,1,0.4,0,0,0,0,0,0
