Creature,MONSTER,,,,,,,,,,,
Index,2377,,,,,,,,,,,
Skeleton,Monster\horror_yetirion_bow.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\horror_yetirion_bow\horror_yetirion_bow_stand.anim,1,1,8.66,0,0,0,0,0,0
0,STAND,1,Monster\horror_yetirion_bow\horror_yetirion_bow_cstand.anim,1,1,1,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\horror_yetirion_bow\horror_yetirion_bow_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\horror_yetirion_bow\horror_yetirion_bow_cwalk.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\horror_yetirion_bow\horror_yetirion_bow_att1.anim,4,1,1.4,0,0,0.6,0,1,0
0,ATTACK,1,Monster\horror_yetirion_bow\horror_yetirion_bow_att1.anim,4,1,1.4,0,0,0.6,0,1,0
0,ATTACK,2,Monster\horror_yetirion_bow\horror_yetirion_bow_att1.anim,4,1,1.4,0,0,0.6,0,1,0
0,ATTACK,3,Monster\horror_yetirion_bow\horror_yetirion_bow_att1.anim,4,1,1.4,0,0,0.6,0,1,0
0,ATTACK,4,Monster\horror_yetirion_bow\horror_yetirion_bow_att1.anim,4,1,1.4,0,0,0.6,0,1,0
0,ATTACK,5,Monster\horror_yetirion_bow\horror_yetirion_bow_att1.anim,4,1,1.4,0,0,0.6,0,1,0
0,BLOCKING,0,Monster\horror_yetirion_bow\horror_yetirion_bow_blocking.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\horror_yetirion_bow\horror_yetirion_bow_p1.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\horror_yetirion_bow\horror_yetirion_bow_p2.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\horror_yetirion_bow\horror_yetirion_bow_p3.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\horror_yetirion_bow\horror_yetirion_bow_p4.anim,5,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\horror_yetirion_bow\horror_yetirion_bow_die.anim,4,1,1.33,0,0,0.1,1,0,0
0,GUARDING,0,monster\horror_yetirion_bow\horror_yetirion_bow_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,monster\horror_yetirion_bow\horror_yetirion_bow_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,monster\horror_yetirion_bow\horror_yetirion_bow_guard3.anim,10,1,1,0,0,0,0,0,0
