Creature,MONSTER,,,,,,,,,,,,,
Index,2501,,,,,,,,,,,,,
Skeleton,Monster\imago.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,SM_STAND,0,Monster\imago\imago_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,SM_STAND,1,Monster\imago\imago_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,SM_MOVE,0,Monster\imago\imago_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,SM_MOVE,1,Monster\imago\imago_run.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\imago\imago_att01.anim,4,1,1.3,0,0,0.83,0,1,0,197,0
0,ATTACK,5,Monster\imago\imago_att02.anim,4,1,1.5,0,0,1.13,0,1,0,198,0
0,BLOCKING,0,Monster\imago\imago_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\imago\imago_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\imago\imago_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\imago\imago_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\imago\imago_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\imago\imago_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\imago\imago_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\imago\imago_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\imago\imago_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\imago\imago_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\imago\imago_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\imago\imago_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\imago\imago_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,SM_DEAD,0,Monster\imago\imago_die.anim,4,1,1.8,0,0,0.1,1,0,0,196,0
0,GUARDING,0,monster\imago\imago_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\imago\imago_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
