Creature,MONSTER,,,,,,,,,,,,,
Index,3921,,,,,,,,,,,,,
Skeleton,Monster\lizardman_Captain.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\lizardman_Captain\lizardman_Captain_stand.anim,4,1,3,0,0,0,0,0,0,0,0
0,STAND,1,Monster\lizardman_Captain\lizardman_Captain_cstand.anim,4,1,1.5,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\lizardman_Captain\lizardman_Captain_walk.anim,4,1,1.33,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\lizardman_Captain\lizardman_Captain_crun.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\lizardman_Captain\lizardman_Captain_att1.anim,4,1,1.8,0,0,0.6,0,1,0,597,0
0,ATTACK,1,Monster\lizardman_Captain\lizardman_Captain_att2.anim,4,1,2,0,0,0.65,0,1,0,598,0
0,BLOCKING,0,Monster\lizardman_Captain\lizardman_Captain_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\lizardman_Captain\lizardman_Captain_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\lizardman_Captain\lizardman_Captain_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\lizardman_Captain\lizardman_Captain_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\lizardman_Captain\lizardman_Captain_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\lizardman_Captain\lizardman_Captain_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\lizardman_Captain\lizardman_Captain_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\lizardman_Captain\lizardman_Captain_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\lizardman_Captain\lizardman_Captain_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\lizardman_Captain\lizardman_Captain_p1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\lizardman_Captain\lizardman_Captain_p2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\lizardman_Captain\lizardman_Captain_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\lizardman_Captain\lizardman_Captain_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\lizardman_Captain\lizardman_Captain_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\lizardman_Captain\lizardman_Captain_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\lizardman_Captain\lizardman_Captain_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\lizardman_Captain\lizardman_Captain_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
